season_end_year,game_id,game_date,team_abbrev,opp_abbrev,is_home,team_pts,team_reb,team_ast,team_tpm,ingested_at
2026,401810384,2026-01-08,CHI,MIA,1,121,45,5,0,2026-01-08T08:52:07Z
2026,401810384,2026-01-08,MIA,CHI,0,117,45,5,0,2026-01-08T08:52:07Z
2026,401810499,2026-01-24,MIN,GS,1,115,44,5,0,2026-01-24T08:48:36Z
2026,401810499,2026-01-24,GS,MIN,0,114,42,6,0,2026-01-24T08:48:36Z
2026,401810507,2026-01-25,MIL,DAL,1,115,40,4,0,2026-01-25T08:49:23Z
2026,401810507,2026-01-25,DAL,MIL,0,116,44,6,0,2026-01-25T08:49:23Z
2026,401810506,2026-01-25,MEM,DEN,1,116,46,3,0,2026-01-25T08:49:23Z
2026,401810506,2026-01-25,DEN,MEM,0,116,42,7,0,2026-01-25T08:49:23Z
2026,401809234,2025-10-22,NY,CLE,1,119,48,22,14,2026-02-26T09:07:15Z
2026,401809234,2025-10-22,CLE,NY,0,111,32,21,19,2026-02-26T09:07:15Z
2026,401809236,2025-10-23,OKC,IND,0,141,60,17,10,2026-02-26T09:07:16Z
2026,401809236,2025-10-23,IND,OKC,1,135,55,21,13,2026-02-26T09:07:16Z
2026,401809235,2025-10-22,SA,DAL,0,125,50,24,8,2026-02-26T09:07:16Z
2026,401809235,2025-10-22,DAL,SA,1,92,37,20,9,2026-02-26T09:07:16Z
2026,401809237,2025-10-23,DEN,GS,0,131,43,32,16,2026-02-26T09:07:17Z
2026,401809237,2025-10-23,GS,DEN,1,137,43,33,18,2026-02-26T09:07:17Z
2026,401809238,2025-12-25,CLE,NY,0,124,45,30,15,2026-02-26T09:07:17Z
2026,401809238,2025-12-25,NY,CLE,1,126,43,28,21,2026-02-26T09:07:17Z
2026,401809239,2025-12-25,SA,OKC,0,117,49,20,11,2026-02-26T09:07:17Z
2026,401809239,2025-12-25,OKC,SA,1,102,48,23,11,2026-02-26T09:07:17Z
2026,401809240,2025-12-25,DAL,GS,0,116,41,18,4,2026-02-26T09:07:18Z
2026,401809240,2025-12-25,GS,DAL,1,126,49,33,14,2026-02-26T09:07:18Z
2026,401809241,2025-12-25,HOU,LAL,0,119,48,24,8,2026-02-26T09:07:18Z
2026,401809241,2025-12-25,LAL,HOU,1,96,25,19,11,2026-02-26T09:07:18Z
2026,401809243,2025-10-21,OKC,HOU,1,125,38,29,13,2026-02-26T09:07:19Z
2026,401809243,2025-10-21,HOU,OKC,0,124,52,23,11,2026-02-26T09:07:19Z
2026,401809242,2025-12-25,DEN,MIN,1,142,45,31,19,2026-02-26T09:07:19Z
2026,401809242,2025-12-25,MIN,DEN,0,138,47,31,12,2026-02-26T09:07:19Z
2026,401809244,2025-10-21,GS,LAL,0,119,40,29,17,2026-02-26T09:07:20Z
