asof_date,team_abbrev,player_name,status,details,source
2025-12-21,TOR,J. Poeltl,OUT,J. Poeltl (Out),rotowire
2025-12-21,HOU,Tari Eason,OUT,Tari Eason (Out),rotowire
2025-12-21,WSH,B. Coulibaly,OUT,B. Coulibaly (Out),rotowire
2025-12-21,WSH,J. Watkins,OUT,J. Watkins (Out),rotowire
2025-12-21,WSH,C. Whitmore,OUT,C. Whitmore (Out),rotowire
2025-12-21,ATL,N. Dante,OUT,N. Dante (Out),rotowire
2025-12-21,ATL,K. Porzingis,OUT,K. Porzingis (Out),rotowire
2025-12-21,CHI,N. Essengue,OFS,N. Essengue (OFS),rotowire
2025-12-21,BKN,H. Highsmith,OUT,H. Highsmith (Out),rotowire
2025-12-21,BKN,D. Powell,OUT,D. Powell (Out),rotowire
2025-12-21,BKN,Cam Thomas,OUT,Cam Thomas (Out),rotowire
2025-12-21,TOR,RJ Barrett,OUT,RJ Barrett (Out),rotowire
2025-12-21,NY,M. McBride,OUT,M. McBride (Out),rotowire
2025-12-21,NY,L. Shamet,OUT,L. Shamet (Out),rotowire
2025-12-21,MIA,T. Herro,OUT,T. Herro (Out),rotowire
2025-12-21,MIA,N. Jovic,OUT,N. Jovic (Out),rotowire
2025-12-21,MIA,P. Larsson,OUT,P. Larsson (Out),rotowire
2025-12-21,MIA,T. Rozier,OUT,T. Rozier (Out),rotowire
2025-12-21,WSH,C. Kispert,OUT,C. Kispert (Out),rotowire
2025-12-21,WSH,Alex Sarr,OUT,Alex Sarr (Out),rotowire
2025-12-21,MIL,G. Antetokounmpo,OUT,G. Antetokounmpo (Out),rotowire
2025-12-21,MIL,T. Prince,OUT,T. Prince (Out),rotowire
2025-12-21,SAC,D. Eubanks,OUT,D. Eubanks (Out),rotowire
2025-12-21,SAC,Z. LaVine,OUT,Z. LaVine (Out),rotowire
2025-12-21,SAC,D. Sabonis,OUT,D. Sabonis (Out),rotowire
2025-12-21,HOU,D. Finney-Smith,OUT,D. Finney-Smith (Out),rotowire
2025-12-21,HOU,F. VanVleet,OUT,F. VanVleet (Out),rotowire
2025-12-22,CHA,R. Kalkbrenner,OUT,R. Kalkbrenner (Out),rotowire
2025-12-22,CHA,C. Sexton,OUT,C. Sexton (Out),rotowire
2025-12-22,CHA,G. Williams,OUT,G. Williams (Out),rotowire
2025-12-22,CLE,E. Mobley,OUT,E. Mobley (Out),rotowire
2025-12-22,CLE,L. Nance,OUT,L. Nance (Out),rotowire
2025-12-22,CLE,Max Strus,OUT,Max Strus (Out),rotowire
2025-12-22,IND,T. Haliburton,OFS,T. Haliburton (OFS),rotowire
2025-12-22,IND,T. McConnell,OUT,T. McConnell (Out),rotowire
2025-12-22,IND,A. Nesmith,OUT,A. Nesmith (Out),rotowire
2025-12-22,IND,B. Sheppard,OUT,B. Sheppard (Out),rotowire
2025-12-22,IND,Obi Toppin,OUT,Obi Toppin (Out),rotowire
2025-12-22,BOS,J. Tatum,OUT,J. Tatum (Out),rotowire
2025-12-22,BOS,J. Walsh,OUT,J. Walsh (Out),rotowire
2025-12-22,DAL,Dante Exum,OFS,Dante Exum (OFS),rotowire
2025-12-22,DAL,D. Lively,OFS,D. Lively (OFS),rotowire
2025-12-22,DAL,K. Irving,OUT,K. Irving (Out),rotowire
2025-12-22,NOP,D. Murray,OUT,D. Murray (Out),rotowire
2025-12-22,UTA,W. Kessler,OFS,W. Kessler (OFS),rotowire
2025-12-22,UTA,Kevin Love,OUT,Kevin Love (Out),rotowire
2025-12-22,UTA,G. Niang,OUT,G. Niang (Out),rotowire
2025-12-22,DEN,T. Bates,OUT,T. Bates (Out),rotowire
2025-12-22,DEN,C. Braun,OUT,C. Braun (Out),rotowire
2025-12-22,DEN,A. Gordon,OUT,A. Gordon (Out),rotowire
2025-12-22,MEM,B. Clarke,OUT,B. Clarke (Out),rotowire
2025-12-22,MEM,Zach Edey,OUT,Zach Edey (Out),rotowire
2025-12-22,MEM,Ty Jerome,OUT,Ty Jerome (Out),rotowire
2025-12-22,MEM,J. Konchar,OUT,J. Konchar (Out),rotowire
2025-12-22,MEM,Ja Morant,OUT,Ja Morant (Out),rotowire
2025-12-22,MEM,S. Pippen,OUT,S. Pippen (Out),rotowire
2025-12-22,MEM,J. Small,OUT,J. Small (Out),rotowire
2025-12-22,MEM,V. Williams,OUT,V. Williams (Out),rotowire
2025-12-22,OKC,T. Sorber,OFS,T. Sorber (OFS),rotowire
2025-12-22,OKC,A. Caruso,OUT,A. Caruso (Out),rotowire
2025-12-22,OKC,O. Dieng,OUT,O. Dieng (Out),rotowire
2025-12-22,OKC,I. Hartenstein,OUT,I. Hartenstein (Out),rotowire
2025-12-22,OKC,C. Holmgren,OUT,C. Holmgren (Out),rotowire
2025-12-22,OKC,N. Topic,OUT,N. Topic (Out),rotowire
2025-12-22,OKC,J. Williams,OUT,J. Williams (Out),rotowire
2025-12-22,ORL,C. Castleton,OUT,C. Castleton (Out),rotowire
2025-12-22,ORL,M. Wagner,OUT,M. Wagner (Out),rotowire
2025-12-22,ORL,F. Wagner,OUT,F. Wagner (Out),rotowire
2025-12-22,GSW,Seth Curry,OUT,Seth Curry (Out),rotowire
2025-12-22,GSW,Al Horford,OUT,Al Horford (Out),rotowire
2025-12-22,POR,D. Lillard,OFS,D. Lillard (OFS),rotowire
2025-12-22,POR,S. Henderson,OUT,S. Henderson (Out),rotowire
2025-12-22,POR,J. Holiday,OUT,J. Holiday (Out),rotowire
2025-12-22,POR,M. Thybulle,OUT,M. Thybulle (Out),rotowire
2025-12-22,POR,B. Wesley,OUT,B. Wesley (Out),rotowire
2025-12-23,CHA,R. Kalkbrenner,OUT,R. Kalkbrenner (Out),rotowire
2025-12-23,CHA,C. Sexton,OUT,C. Sexton (Out),rotowire
2025-12-23,IND,T. McConnell,OUT,T. McConnell (Out),rotowire
2025-12-23,BOS,J. Walsh,OUT,J. Walsh (Out),rotowire
2025-12-23,DAL,M. Christie,OUT,M. Christie (Out),rotowire
2025-12-23,UTA,Kevin Love,OUT,Kevin Love (Out),rotowire
2025-12-23,MEM,Ja Morant,OUT,Ja Morant (Out),rotowire
2025-12-23,MEM,V. Williams,OUT,V. Williams (Out),rotowire
2025-12-23,OKC,A. Caruso,OUT,A. Caruso (Out),rotowire
2025-12-23,OKC,O. Dieng,OUT,O. Dieng (Out),rotowire
2025-12-23,OKC,I. Hartenstein,OUT,I. Hartenstein (Out),rotowire
2025-12-23,OKC,C. Holmgren,OUT,C. Holmgren (Out),rotowire
2025-12-23,OKC,A. Wiggins,OUT,A. Wiggins (Out),rotowire
2025-12-23,OKC,J. Williams,OUT,J. Williams (Out),rotowire
2025-12-23,ORL,T. da Silva,OUT,T. da Silva (Out),rotowire
2025-12-23,ORL,J. Suggs,OUT,J. Suggs (Out),rotowire
2025-12-23,GSW,Seth Curry,OUT,Seth Curry (Out),rotowire
2025-12-23,GSW,Al Horford,OUT,Al Horford (Out),rotowire
2025-12-23,DET,R. Holland,OUT,R. Holland (Out),rotowire
2025-12-23,POR,J. Grant,OUT,J. Grant (Out),rotowire
2025-12-23,CHA,G. Williams,OUT,G. Williams (Out),rotowire
2025-12-23,CLE,E. Mobley,OUT,E. Mobley (Out),rotowire
2025-12-23,CLE,L. Nance,OUT,L. Nance (Out),rotowire
2025-12-23,CLE,Max Strus,OUT,Max Strus (Out),rotowire
2025-12-23,IND,T. Haliburton,OFS,T. Haliburton (OFS),rotowire
2025-12-23,IND,A. Nesmith,OUT,A. Nesmith (Out),rotowire
2025-12-23,IND,B. Sheppard,OUT,B. Sheppard (Out),rotowire
2025-12-23,IND,Obi Toppin,OUT,Obi Toppin (Out),rotowire
2025-12-23,BOS,J. Tatum,OUT,J. Tatum (Out),rotowire
2025-12-23,DAL,Dante Exum,OFS,Dante Exum (OFS),rotowire
2025-12-23,DAL,D. Lively,OFS,D. Lively (OFS),rotowire
2025-12-23,DAL,K. Irving,OUT,K. Irving (Out),rotowire
2025-12-23,NOP,D. Murray,OUT,D. Murray (Out),rotowire
2025-12-23,UTA,W. Kessler,OFS,W. Kessler (OFS),rotowire
2025-12-23,UTA,G. Niang,OUT,G. Niang (Out),rotowire
2025-12-23,DEN,T. Bates,OUT,T. Bates (Out),rotowire
2025-12-23,DEN,C. Braun,OUT,C. Braun (Out),rotowire
2025-12-23,DEN,A. Gordon,OUT,A. Gordon (Out),rotowire
2025-12-23,MEM,B. Clarke,OUT,B. Clarke (Out),rotowire
2025-12-23,MEM,Zach Edey,OUT,Zach Edey (Out),rotowire
