player_id,player_name_canonical,player_name_norm,last_seen_team_abbrev,first_seen_date,last_seen_date
1966,LeBron James,lebron james,LAL,2025-12-21,2025-12-21
3202,Kevin Durant,kevin durant,HOU,2025-12-20,2025-12-20
3468,Russell Westbrook,russell westbrook,SAC,2025-12-21,2025-12-21
3975,Stephen Curry,stephen curry,GS,2025-12-21,2025-12-21
3978,DeMar DeRozan,demar derozan,SAC,2025-12-21,2025-12-21
3992,James Harden,james harden,LAC,2025-12-21,2025-12-21
3995,Jrue Holiday,jrue holiday,POR,2025-12-21,2025-12-21
4251,Paul George,paul george,PHI,2025-12-20,2025-12-20
6430,Jimmy Butler III,jimmy butler iii,GS,2025-12-21,2025-12-21
6450,Kawhi Leonard,kawhi leonard,LAC,2025-12-21,2025-12-21
6478,Nikola Vucevic,nikola vucevic,CHI,2025-12-21,2025-12-21
6578,Harrison Barnes,harrison barnes,SA,2025-12-20,2025-12-20
6583,Anthony Davis,anthony davis,DAL,2025-12-21,2025-12-21
6589,Draymond Green,draymond green,GS,2025-12-21,2025-12-21
2490149,CJ McCollum,cj mccollum,WSH,2025-12-21,2025-12-21
2528210,Tim Hardaway Jr.,tim hardaway jr,DEN,2025-12-20,2025-12-20
2530530,T.J. McConnell,t j mcconnell,IND,2025-12-21,2025-12-21
2595516,Norman Powell,norman powell,MIA,2025-12-20,2025-12-20
2991070,Jerami Grant,jerami grant,POR,2025-12-21,2025-12-21
2991235,Steven Adams,steven adams,HOU,2025-12-20,2025-12-20
3032976,Rudy Gobert,rudy gobert,MIN,2025-12-20,2025-12-20
3032977,Giannis Antetokounmpo,giannis antetokounmpo,MIL,2025-12-04,2025-12-04
3059318,Joel Embiid,joel embiid,PHI,2025-12-14,2025-12-14
3059319,Andrew Wiggins,andrew wiggins,MIA,2025-12-20,2025-12-20
3062679,Josh Hart,josh hart,NY,2025-12-20,2025-12-20
3064290,Aaron Gordon,aaron gordon,DEN,2025-11-22,2025-11-22
3064440,Zach LaVine,zach lavine,SAC,2025-12-15,2025-12-15
3064482,Bobby Portis,bobby portis,MIL,2025-12-19,2025-12-19
3064514,Julius Randle,julius randle,MIN,2025-12-20,2025-12-20
3078576,Derrick White,derrick white,BOS,2025-12-21,2025-12-21
3102531,Kristaps Porzingis,kristaps porzingis,ATL,2025-12-21,2025-12-21
3112335,Nikola Jokic,nikola jokic,DEN,2025-12-20,2025-12-20
3133628,Myles Turner,myles turner,MIL,2025-12-19,2025-12-19
3134907,Kyle Kuzma,kyle kuzma,MIL,2025-12-14,2025-12-14
3134908,Jakob Poeltl,jakob poeltl,TOR,2025-12-21,2025-12-21
3135045,Grayson Allen,grayson allen,PHX,2025-12-15,2025-12-15
3136193,Devin Booker,devin booker,PHX,2025-12-21,2025-12-21
3136195,Karl-Anthony Towns,karl anthony towns,NY,2025-12-20,2025-12-20
3138196,Cameron Johnson,cameron johnson,DEN,2025-12-20,2025-12-20
3147657,Mikal Bridges,mikal bridges,NY,2025-12-20,2025-12-20
3149673,Pascal Siakam,pascal siakam,IND,2025-12-21,2025-12-21
3155526,Dillon Brooks,dillon brooks,PHX,2025-12-21,2025-12-21
3155942,Domantas Sabonis,domantas sabonis,SAC,2025-11-16,2025-11-16
3908809,Donovan Mitchell,donovan mitchell,CLE,2025-12-20,2025-12-20
3913176,Brandon Ingram,brandon ingram,TOR,2025-12-21,2025-12-21
3917376,Jaylen Brown,jaylen brown,BOS,2025-12-21,2025-12-21
3934672,Jalen Brunson,jalen brunson,NY,2025-12-20,2025-12-20
3934673,Donte DiVincenzo,donte divincenzo,MIN,2025-12-20,2025-12-20
3934719,OG Anunoby,og anunoby,NY,2025-12-20,2025-12-20
3936299,Jamal Murray,jamal murray,DEN,2025-12-20,2025-12-20
3945274,Luka Doncic,luka doncic,LAL,2025-12-21,2025-12-21
4017837,Ivica Zubac,ivica zubac,LAC,2025-12-21,2025-12-21
4066259,De'Aaron Fox,deaaron fox,SA,2025-12-20,2025-12-20
4066261,Bam Adebayo,bam adebayo,MIA,2025-12-20,2025-12-20
4066320,Desmond Bane,desmond bane,ORL,2025-12-21,2025-12-21
4066328,Jarrett Allen,jarrett allen,CLE,2025-12-20,2025-12-20
4066336,Lauri Markkanen,lauri markkanen,UTAH,2025-12-16,2025-12-16
4066354,Payton Pritchard,payton pritchard,BOS,2025-12-21,2025-12-21
4066383,Miles Bridges,miles bridges,CHA,2025-12-21,2025-12-21
4066457,Austin Reaves,austin reaves,LAL,2025-12-11,2025-12-11
4222252,Isaiah Hartenstein,isaiah hartenstein,OKC,2025-12-20,2025-12-20
4277811,Collin Sexton,collin sexton,CHA,2025-12-07,2025-12-07
4277905,Trae Young,trae young,ATL,2025-12-21,2025-12-21
4277956,Jordan Poole,jordan poole,NO,2025-12-21,2025-12-21
4277961,Jaren Jackson Jr.,jaren jackson jr,MEM,2025-12-21,2025-12-21
4278039,Nickeil Alexander-Walker,nickeil alexander walker,ATL,2025-12-21,2025-12-21
4278067,Nic Claxton,nic claxton,BKN,2025-12-19,2025-12-19
4278073,Shai Gilgeous-Alexander,shai gilgeous alexander,OKC,2025-12-20,2025-12-20
4278078,P.J. Washington,p j washington,DAL,2025-12-21,2025-12-21
4278104,Michael Porter Jr.,michael porter jr,BKN,2025-12-19,2025-12-19
4278129,Deandre Ayton,deandre ayton,LAL,2025-12-15,2025-12-15
4278355,Obi Toppin,obi toppin,IND,2025-10-30,2025-10-30
4278585,Collin Gillespie,collin gillespie,PHX,2025-12-21,2025-12-21
4279888,Ja Morant,ja morant,MEM,2025-12-16,2025-12-16
4395625,RJ Barrett,rj barrett,TOR,2025-11-23,2025-11-23
4395628,Zion Williamson,zion williamson,NO,2025-12-21,2025-12-21
4395630,Devin Vassell,devin vassell,SA,2025-12-20,2025-12-20
4395651,Coby White,coby white,CHI,2025-12-21,2025-12-21
4395712,Andrew Nembhard,andrew nembhard,IND,2025-12-21,2025-12-21
4395723,Keldon Johnson,keldon johnson,SA,2025-12-20,2025-12-20
